,quote,author
259584,"It is a simple tale, but its message is an enduring one: virtue and generosity will be rewarded in ways that one cannot know.",Nelson Mandela
260801,"A man of character finds a special attractiveness in difficulty, since it is only by coming to grips with difficulty that he can realize his potentialities.",Charles de Gaulle
260822,"Manliness consists not in bluff, bravado or loneliness. It consists in daring to do the right thing and facing consequences whether it is in matters social, political or other. It consists in deeds not words.",Mahatma Gandhi
261092,"Some men, under the pressure of incarceration, showed true mettle, while others revealed themselves as less than what they had appeared to be.",Nelson Mandela
261603,I can retain neither respect nor affection for government which has been moving from wrong to wrong in order to defend its immorality,Mahatma Gandhi
264890,He freed man from outer religiosity because he made religiosity the inner man. He freed the body from chains because he enchained the heart.,Karl Marx
265151,"I do not believe in God, because I believe in man. Whatever his mistakes, man has for thousands of years been working to undo the botched job your god has made.",Emma Goldman
266032,"So long as tyranny exists, in whatever form, man's deepest aspiration must resist it as inevitably as man must breathe.",Emma Goldman
266812,Homeopathy cures a larger percentage of cases than any other form of treatment and is beyond doubt safer and more economical.,Mahatma Gandhi
267203,"Even Samson, the world's strongest man, was destroyed by the woman who slept in his arms. she was the one whose words hurt him.",Malcolm X
267664,"I am not a saint, unless you think of a saint as a sinner who keeps on trying.",Nelson Mandela
277494,"Look at yourselves. Some of you teenagers, students. How do you think I feel and I belong to a generation ahead of you - how do you think I feel to have to tell you, 'We, my generation, sat around like a knot on a wall while the whole world was fighting for its human rights - and you've got to be born into a society where you still have that same fight.' What did we do, who preceded you? I'll tell you what we did. Nothing. And don't you make the same mistake we made....",Malcolm X
282373,"Be peaceful, be courteous, obey the law, respect everyone; but if someone puts his hand on you, send him to the cemetery.",Malcolm X
282380,"I am a Muslim, because it's a religion that teaches you an eye for an eye and a tooth for a tooth. It teaches you to respect everybody, and treat everybody right. But it also teaches you if someone steps on your toe, chop off their foot. And I carry my religious axe with me all the time.",Malcolm X
282382,"True Islam taught me that it takes all of the religious, political, economic, psychological, and racial ingredients, or characteristics, to make the Human Family and the Human Society complete.",Malcolm X
282385,"I become more than ever convinced that it was not the sword that won a place for Islam in those days. It was the rigid simplicity, the utter self-effacement of Hussein, the scrupulous regard for pledges, his intense devotion to his friends and followers and his intrepidity, his fearlessness, his absolute trust in God and in his own mission. These and not the sword carried everything before them and surmounted every obstacle.",Mahatma Gandhi
282389,"There is nothing in our book, the Qur'an, that teaches us to suffer peacefully. Our religion teaches us to be intelligent. Be peaceful, be courteous, obey the law, respect everyone; but if someone lays a hand on you, send him to the cemetery.",Malcolm X
282390,"America needs to understand Islam, because this is the one religion that erases from its society the race problem. Throughout my travels in the Muslim world, I have met, talked to, and even eaten with people who in America would have been considered white, but the white attitude was removed from their minds by the religion of Islam. I have never before seen sincere and true brotherhood practiced by all together, irrespective of their color.",Malcolm X
285018,"It was not lack of ability that limited my people, but lack of opportunity.",Nelson Mandela
287983,"And when I speak, I don't speak as a Democrat. Or a Republican. Nor an American. I speak as a victim of America's so-called democracy. You and I have never seen democracy - all we've seen is hypocrisy. When we open our eyes today and look around America, we see America not through the eyes of someone who has enjoyed the fruits of Americanism. We see America through the eyes of someone who has been the victim of Americanism. We don't see any American dream. We've experienced only the American nightmare.",Malcolm X
288097,"The 'free' laborer, thanks to the development of capitalistic production, agrees, i.e. is compelled by social conditions, to sell the whole of his active life, his birthright for a mass of pottage.",Karl Marx
288100,"Only in community with others has each individual the means of cultivating his gifts in all directions; only in the community, therefore, is personal freedom possible.",Karl Marx
288102,"Man is the highest essence of man, hence with the categorical imperative to overthrow all relations in which man is a debased, enslaved, abandoned, despicable essence.",Karl Marx
288296,"The political superstition is still holding sway over the hearts and minds of the masses, but the true lovers of liberty will have no more to do with it. Instead, they believe with Stirner that man has as much liberty as he is willing to take. Anarchism therefore stands for direct action, the open defiance of, and resistance to, all laws and restrictions, economic, social, and moral. But defiance and resistance are illegal. Therein lies the salvation of man. Everything illegal necessitates integrity, self-reliance, and courage. In short, it calls for free, independent spirits, for ""men who are men, and who have a bone in their backs which you cannot pass your hand through.",Emma Goldman
290713,Solitude is a catalyst for innovation,Mahatma Gandhi
291608,To have once been a criminal is no disgrace. To remain a criminal is the disgrace,Malcolm X
291661,Crime is naught but misdirected energy.,Emma Goldman
292981,Our greatness lies not so much in being able to remake the world as in being able to remake ourselves.,Mahatma Gandhi
293288,"Your beliefs become your thoughts, Your thoughts become your words, Your words become your actions, Your actions become your habits, Your habits become your values, Your values become your destiny.",Mahatma Gandhi
293523,"A revolution is not a dinner party, or writing an essay, or painting a picture, or doing embroidery; it cannot be so refined, so leisurely and gentle, so temperate, kind, courteous, restrained and magnanimous. A revolution is an insurrection, an act of violence by which one class overthrows another.",Mao Zedong
293537,Victory attained by violence is tantamount to a defeat for it is momen,Mahatma Gandhi
293758,"A man with a rifle or a club can only be stopped by a person who defends himself with a rifle or a club. That's equality. If the United States government doesn't want you and me to have rifles, then take the rifles away from those racists. If they don't want you and me to use clubs, take the clubs away from the racists. If they don't want you and me to get violent, then stop the racists from being violent. Don't teach us non-violence!!!",Malcolm X
293816,"Where choice is set between cowardice and violence, I would advise violence ... I prefer to use arms in defense of honor rather than remain the vile witness of dishonor...",Mahatma Gandhi
293907,"Victory attained by violence is tantamount to a defeat, for it is momentary.",Mahatma Gandhi
293958,We owe our children – the most vulnerable citizens in any society – a life free from violence and fear.,Nelson Mandela
294425,Service which is rendered without joy helps neither the servant nor the served. But all other pleasures and possessions pale into nothingness before service which is rendered in a spirit of joy.,Mahatma Gandhi
295163,It always seems impossible until it's done.,Nelson Mandela
295166,"I have walked that long road to freedom. I have tried not to falter; I have made missteps along the way. But I have discovered the secret that after climbing a great hill, one only finds that there are many more hills to climb. I have taken a moment here to rest, to steal a view of the glorious vista that surrounds me, to look back on the distance I have come. But I can only rest for a moment, for with freedom come responsibilities, and I dare not linger, for my long walk is not ended.",Nelson Mandela
295178,"After climbing a great hill, one only finds that there are many more hills to climb.",Nelson Mandela
295183,The difference between what we do and what we are capable of doing would suffice to solve most of the world's problems.,Mahatma Gandhi
295186,Where you stand depends on where you sit.,Nelson Mandela
296814,The production of too many useful things results in too many useless people.,Karl Marx
302785,"All my years campaigning have given me one clear message: Voting isn't the most we can do, but it is the least. To have a democracy, you have to want one. Still, I realize this fully only by looking back.",Gloria Steinem
302908,"To safeguard democracy the people must have a keen sense of independence, self-respect and their oneness, and should insist upon choosing as their representatives only such persons as are good and true.",Mahatma Gandhi
303005,You can't hate the roots of a tree and not hate the tree.,Malcolm X
303043,You can't have capitalism without racism.,Malcolm X
303309,"Thoughtful white people know they are inferior to black people. Anyone who has studied the genetic phase of biology knows that white is considered recessive and black is considered dominant. When you want strong coffee, you ask for black coffee. If you want it light, you want it weak, integrated with white milk. Just like these Negroes who weaken themselves and their race by this integrating and intermixing with whites. If you want bread with no nutritional value, you ask for white bread. All the good that was in it has been bleached out of it, and it will constipate you. If you want pure flour, you ask for dark flour, whole-wheat flour. If you want pure sugar, you want dark sugar.",Malcolm X
303311,"A man who tosses worms in the river isn’t 't necessarily a friend of the fish. All the fish who take him for a friend, who think the worm’s got no hook in it, usually end up in the frying pan.",Malcolm X
303313,"No, there is plenty wrong with Negroes. They have no society. They’re robots, automatons. No minds of their own. I hate to say that about us, but it’s the truth. They are a black body with a white brain.",Malcolm X
303321,America's racism is among their own fellow whites. That's where sincere whites who really mean to accomplish something have got to work.,Malcolm X
303900,It is wrong and immoral to seek to escape the consequences of one's acts.,Mahatma Gandhi
307521,"There are only two ways to live your life: as though nothing is a miracle, or as though everything is a miracle.",Mahatma Gandhi
310223,"Exchange, fair or unfair,always presupposes and includes the rule of the bourgeoisie.",Vladimir Lenin
310427,The Capitalists will sell us the rope with which we will hang them.,Vladimir Lenin
310549,"Capitalism: Teach a man to fish, but the fish he catches aren't his. They belong to the person paying him to fish, and if he's lucky, he might get paid enough to buy a few fish for himself.",Karl Marx
311210,The greatness of a nation and its moral progress can be judged by the way its animals are treated.,Mahatma Gandhi
313297,"Give us what belongs to us in peace, and if you don't give it to us in peace, we will take it by force.",Emma Goldman
313370,"Logic is the science not of external forms of thought, but of the laws of development ""of all material, natural and spiritual things"", i.e., of the development of the entire concrete content of the world and of its cognition, i.e., the sum-total, the conclusion of the History of knowledge of the world.",Vladimir Lenin
313424,"The philosophers have only interpreted the world, in various ways; the point is to change it.",Karl Marx
313509,"The Algerians were revolutionsists, they wanted land. France offered to let them be integrated into France. They told France, to hell with Fance, they wanted some land, not some France.",Malcolm X
313571,A blind pursuit of cheap popularity has nothing to do with revolu,Nelson Mandela
313663,"And is it not sects, bodies of definite, uncompromising principles, that lead us into revolutions?",Vladimir Lenin
315722,"I believe in equality for everyone, except reporters and photographers.",Mahatma Gandhi
315878,"The introduction of free competition is thus public declaration that from now on the members of society are unequal only to the extent that their capitals are unequal, that capital is the decisive power, and that therefore the capitalists, the bourgeoisie, have become the first class in society.",Karl Marx
318852,"We should meet abuse by forbearance. Human nature is so constituted that if we take absolutely no notice of anger or abuse, the person indulging in it will soon weary of it and stop.",Mahatma Gandhi
318994,Nothing is impossible for pure love.,Mahatma Gandhi
319419,Lead from the back — and let others believe they are in front.,Nelson Mandela
319421,Lead from the front — but don t leave your base behind.,Nelson Mandela
330416,"Vengeance is pointless, but certain men do not have a place in the world we sought to construct",Simone de Beauvoir
330417,"Vengeance is pointless, but certain men did not have a place in the world we sought to construct",Simone de Beauvoir
333823,"In a gentle way, you can shake the world",Mahatma Gandhi
339173,I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings. My wisdom flows from the Highest Source. I salute that Source in you. Let us work together for unity and love.,Mahatma Gandhi
341594,"During my lifetime I have dedicated myself to this struggle of the African people. I have fought against white domination, and I have fought against black domination. I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal which I hope to live for and to achieve. But if needs be, it is an ideal for which I am prepared to die.",Nelson Mandela
341720,"No matter how much respect, no matter how much recognition whites show towards me…as long as that same respect and recognition isn’t shown towards everyone of our people in this country–it doesn’t exist for me.",Malcolm X
341922,"What does a title mean to me? I do not need a title. My name, which I achieved with my own strength, is my title. I only wish that posterity would sometime confirm the fact that I have striven to achieve my program decently and honestly..",Adolf Hitler
342057,"To me, the thing that is worse than death is betrayal. You see, I could conceive death, but I could not conceive betrayal.",Malcolm X
343391,"...it is all the more clear what we have to accomplish at present: I am referring to ruthless criticism of all that exists, ruthless both in the sense of not being afraid of the results it arrives at and in the sense of being just as little afraid of conflict with the powers that be.",Karl Marx
346068,I am of the opinion that there is nothing which has been produced by the will of man which cannot in its turn be altered by another human will.,Adolf Hitler
346308,(About Sartre...)His death does not separate us. My death will not bring us together again. That is how things are. It is in itself splendid that we were able to live our lives in harmony for so long.,Simone de Beauvoir
346341,"The thing that attracted me about philosophy was that it went straight to essentials. I had never liked fiddling detail; I perceived the general significance of things rather than their singularities, and I preferred understanding to seeing; I had always wanted to know everything; philosophy would allow me to appease this desire, for it aimed at total reality;philosophy went right to the heart of truth and revealed to me, instead of an illusory whirlwind of facts or empirical laws, an order, a reason, a necessity in everything.",Simone de Beauvoir
354154,There is no such thing as ‘too insane’ unless others turn up dead due to your actions.,Mahatma Gandhi
354789,"The task of a truly revolutionary party is not to declare that it is impossible to renounce all compromises, but to be able, through all compromises, when they are unavoidable, to remain true to its principles, to its class, to its revolutionary purpose, to its task of paving the way for revolution and educating the mass of the people for victory in the revolution.",Vladimir Lenin
354790,Nonviolence is the first article of my faith. It is also the last article of my creed.,Mahatma Gandhi
358780,"The old men had a set rabbit-hunting strategy that they had always used. Usually when a dog jumps a rabbit, and the rabbit gets away, that rabbit will always somehow instinctively run in a circle and return sooner or later past the very spot where he originally was jumped. Well, the old men would just sit and wait in hiding somewhere for the rabbit to come back, then get their shots at him. I got to thinking about it, and finally I thought of a plan. I would separate from them and Big Boy and I would go to a point where I figured that the rabbit, returning, would have to pass me first.It worked like magic. I began to get three and four rabbits before they got one. The astonishing thing was that none of the old men ever figured out why. They outdid themselves exclaiming what a sure shot I was. I was about twelve, then. All I had done was to improve on their strategy, and it was the beginning of a very important lesson in life—that anytime you find someone more successful than you are, especially when you’re both engaged in the same business—you know they’re doing something that you aren’t.",Malcolm X
359153,"Far too many people are looking for the right person, instead of trying to be the right person.",Gloria Steinem
361196,"The contention that a standing army and navy is the best security of peace is about as logical as the claim that the most peaceful citizen is he who goes about heavily armed. The experience of every-day life fully proves that the armed individual is invariably anxious to try his strength. The same is historically true of governments. Really peaceful countries do not waste life and energy in war preparations, with the result that peace is maintained.",Emma Goldman
363106,"I say, sir, that you can never make an intelligent judgment without evidence.",Malcolm X
363627,"I am bound to accord you, in the name of free speech, the full right to shout, lie and write to your heart’s content. But you are bound to grant me, in the name of freedom of association, the right to enter into, or withdraw from, association with people advocating this or that view.",Vladimir Lenin
364081,"If conquest constitutes a natural right on the part of the few, the many have only to gather sufficient strength in order to acquire the natural right of reconquering what has been taken from them",Karl Marx
366033,Selfishness is blind.,Mahatma Gandhi
366440,"Patriotism ... is a superstition artificially created and maintained through a network of lies and falsehoods; a superstition that robs man of his self-respect and dignity, and increases his arrogance and conceit.",Emma Goldman
366536,"Conceit, arrogance and egotism are the essentials of patriotism. Let me illustrate. Patriotism assumes that our globe is divided into little spots, each one surrounded by an iron gate. Those who have had the fortune of being born on some particular spot consider themselves nobler, better, grander, more intelligent than those living beings inhabiting any other spot. It is, therefore, the duty of everyone living on that chosen spot to fight, kill and die in the attempt to impose his superiority upon all the others. The inhabitants of the other spots reason in like manner, of course, with the result that from early infancy the mind of the child is provided with blood-curdling stories about the Germans, the French, the Italians, Russians, etc. When the child has reached manhood he is thoroughly saturated with the belief that he is chosen by the Lord himself to defend his country against the attack or invasion of any foreigner. It is for that purpose that we are clamoring for a greater army and navy, more battleships and ammunition.An army and navy represent the people's toys.",Emma Goldman
366958,Anyone can deal with victory. Only the mighty can bear defeat.,Adolf Hitler
367673,Someone has said that it requires less mental effort to condemn than to think.,Emma Goldman
368087,An unjust law is itself a species of violence. Arrest for its breach is more so.,Mahatma Gandhi
368089,"Sitting at the table doesn't make you a diner, unless you eat some of what's on that plate. Being here in America doesn't make you an American. Being born here in America doesn't make you an American.",Malcolm X
368244,"This year will go down in history. For the first time, a civilized nation has full gun registration. Our streets will be safer, our police more efficient, and the world will follow our lead into the future!",Adolf Hitler
368256,Politics is too serious a matter to be left to the politicians.,Charles de Gaulle
371192,"It's just like when you've got some coffee that's too black, which means it's too strong. What do you do? You integrate it with cream, you make it weak. But if you pour too much cream in it, you won't even know you ever had coffee. It used to be hot, it becomes cool. It used to be strong, it becomes weak. It used to wake you up, now it puts you to sleep.",Malcolm X
371917,Basically National Socialism and Marxism are the same thing,Adolf Hitler
374545,"Truth is like a vast tree which yields more and more fruit the more you nurture it. The deeper the search in the mind of truth, the richer the discovery of the gems buried there.",Mahatma Gandhi
376771,Each one has to find his peace from within. And peace to be real must be unaffected by outside circumstances.,Mahatma Gandhi
377404,Keep the enemy in the dark about where and when our forces will attack.,Mao Zedong
380874,There is something in the New York air that makes sleep useless.,Simone de Beauvoir
381522,"It is man's social nature which distinguishes him from the brute creation. If it is his privilege to be independent, it is equally his duty to be inter-dependent. Only an arrogant man will claim to be independent of everybody else and be self-contained.",Mahatma Gandhi
381894,There would be nothing to frighten you if you refused to be afraid.,Mahatma Gandhi
381906,"My aim is not to be consistent with my previous statements on a given question, but to be consistent with truth as it may present itself to me at a given moment. The result has been that I have grown from truth to truth.",Mahatma Gandhi
381907,One should not think of embracing another religion before one had fully understand his own.,Mahatma Gandhi
383081,This is no simple reform. It really is a revolution. Sex and race because they are easy and visible differences have been the primary ways of organizing human beings into superior and inferior groups and into the cheap labor on which this system still depends. We are talking about a society in which there will be no roles other than those chosen or those earned. We are really talking about humanism.,Gloria Steinem
383502,"In retrospect, perhaps the biggest reason my mother was cared for but not helped for twenty years was the simplest: Her functioning was not that necessary to the world.",Gloria Steinem
383930,"Not only my arrest but the others smack of the Haymarket. The police are very much in disrepute all over the country, and they wish to do something to clear themselves. They are trying to make it an anarchist plot. If they wish to make up a case, they may succeed.",Emma Goldman
386459,They cannot take away our self respect if we do not give it to them.,Mahatma Gandhi
386920,I sometimes wonder if I am crisscrossing my father's ghostly paths and we are entering same towns or roadside diners or the black ribbons of highways that gleam in the night rain. As if we were images in a time-lapse photograph.,Gloria Steinem
387077,I am & have been for years a confirmed anti-vaccinationist. Anti-vaccination has no backing from the orthodox medical opinion. A medical man who expresses himself against vaccination loses caste. Tremendous pecuniary interests too have grown around vaccination.,Mahatma Gandhi
388160,"Betty's a good Muslim woman and wife. I don't imagine many other women might put up with the way I am. Awakening this brainwashed black man and telling this arrogant, devilish white man the truth about himself, Betty understands, is a full-time job",Malcolm X
389162,"I hold that it is the duty of every cultured man or woman to read sympathetically the scriptures of the world. If we are to respect others'religions as we would have them to respect our own, a friendly study of theworld's religions is a sacred duty.",Mahatma Gandhi
391773,"It is said that no one truly knows a nation until one has been inside its jails. A nation should not be judged by how it treats its highest citizens, but its lowest ones.",Nelson Mandela
393343,No politician should ever let himself be photographed in a bathing suit.,Adolf Hitler
393989,We are becoming the men we wanted to marry,Gloria Steinem
395325,Our ability to reach unity in diversity will be the beauty and the test of our civilisation.,Mahatma Gandhi
395466,The difference between what we do and what we are capable of doing would suffice to solve most of the world's problems.,Mahatma Gandhi
395549,It's not a very big step from contentment to complacency.,Simone de Beauvoir
395636,In the face of an obstacle which is impossible to overcome  stubbornness is stupid.,Simone de Beauvoir
395875,Deliberation is the work of many men. Action  of one alone.,Charles de Gaulle
395907,I am not built for academic writings. Action is my domain.,Mahatma Gandhi
396453,The role of a retired person is no longer to possess one.,Simone de Beauvoir
397786,Capital is dead labor that  vampirelike  lives only by sucking living labor  and lives the more  the more labor it suck.,Karl Marx
398393,How can you be expected to govern a country that has 246 kinds of cheese?,Charles de Gaulle
398625,The theory of Communism may be summed up in one sentence: Abolish all private property.,Karl Marx
398687,Someone asked me why women don't gamble as much as men do  and I gave the commonsensical reply that we don't have as much money. That was a true and incomplete answer. In fact  women's total instinct for gambling is satisfied by marriage.,Gloria Steinem
399067,Defending the truth is not something one does out of a sense of duty or to allay guilt complexes  but is a reward in itself.,Simone de Beauvoir
399103,I have met brave women who are exploring the outer edge of human possibility  with no history to guide them  and with a courage to make themselves vulnerable that I find moving beyond words.,Gloria Steinem
399407,No amount of political freedom will satisfy the hungry masses.,Vladimir Lenin
399413,All that philosophers have done is interpret the world in different ways. It is our job to change it.,Karl Marx
399443,Those interested in perpetuating present conditions are always in tears about the marvelous past that is about to disappear  without having so much as a smile for the young future.,Simone de Beauvoir
399664,Faced with crisis  the man of character falls back on himself.,Charles de Gaulle
401216,If I had no sense of humor  I should long ago have committed suicide.,Mahatma Gandhi
401641,One's life has value so long as one attributes value to the life of others  by means of love  friendship  indignation and compassion.,Simone de Beauvoir
401741,Faith is not something to grasp  it is a state to grow into.,Mahatma Gandhi
401785,Faith is the function of the heart.,Mahatma Gandhi
401851,Whenever you are confronted with an opponent  conquer him with love.,Mahatma Gandhi
401919,Before such a prodigious career  judgement is torn between blame and admiration.,Charles de Gaulle
402386,To a man with an empty stomach  food is god.,Mahatma Gandhi
404199,Change your life today. Don't gamble on the future  act now  without delay.,Simone de Beauvoir
404526,You can't assume the responsibility for everything you do-or don't do.,Simone de Beauvoir
404766,The more of himself man attributes to God  the less he has left in himself.,Karl Marx
405102,How can you govern a country with two hundred and forty-six varieties of cheese?,Charles de Gaulle
405164,Greatness is a road leading towards the unknown.,Charles de Gaulle
405187,Greatness is a road leading towards the unknown.,Charles de Gaulle
405210,Greatness is a road leading towards the unknown.,Charles de Gaulle
405233,Greatness is a road leading towards the unknown.,Charles de Gaulle
405256,Greatness is a road leading towards the unknown.,Charles de Gaulle
405279,Greatness is a road leading towards the unknown.,Charles de Gaulle
405302,Greatness is a road leading towards the unknown.,Charles de Gaulle
405325,Greatness is a road leading towards the unknown.,Charles de Gaulle
405366,Greatness is a road leading towards the unknown.,Charles de Gaulle
405377,The perfection preached in the Gospels never yet built up an Empire. Every man of action has a strong dose of optimism  pride  hardness and cunning. But all these things will be forgiven him  indeed they will be regarded as high qualities  if he can make of them the means to achieve great ends.,Charles de Gaulle
405790,Happiness is when what you think  what you say  and what you do are in harmony.,Mahatma Gandhi
406640,The demand for equal rights in every vocation of life is just and fair  but  after all  the most vital right is the right to love and be loved.,Emma Goldman
406647,One's life has value so long as one attributes value to the life of others  by means of love  friendship  indignation  and compassion.,Simone de Beauvoir
406722,No one has yet realized the wealth of sympathy  the kindness and generosity hidden in the soul of a child. The effort of every true education should be to unlock that treasure.,Emma Goldman
406774,The fact that we are human beings is infinitely more important than all the peculiarities that distinguish human beings from one another.,Simone de Beauvoir
406785,The motto should not be: Forgive one another  rather understand one another.,Emma Goldman
406786,Someone has said that it requires less mental effort to condemn than to think.,Emma Goldman
406810,That's what I consider true generosity. You give your all and yet you always feel as if it costs you nothing.,Simone de Beauvoir
407035,After 15 years of work I have achieved  as a common German soldier and merely with my fanatical willpower  the unity of the German nation  and have freed it from the death sentence of Versailles.,Adolf Hitler
407379,Hope is a very unruly emotion.,Gloria Steinem
407442,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
408754,The first problem for all of us  men and women  is not to learn  but to unlearn.,Gloria Steinem
408921,A true leader always keeps an element of surprise up his sleeve  which others cannot grasp but which keeps his public excited and breathless.,Charles de Gaulle
408932,Every man of action has a strong dose of egotism  pride  hardness and cunning. But all those things will be forgiven him  indeed  they will be regarded as high qualities  if he can make them the means to achieve great ends.,Charles de Gaulle
408992,Rights that do not flow from duty well performed are not worth having.,Mahatma Gandhi
409225,Where there is love there is life.,Mahatma Gandhi
411195,Monotony is the law of nature. Look at the monotonous manner in which the sun rises. The monotony of necessary occupations is exhilarating and life-giving.,Mahatma Gandhi
411661,Live with no time out.,Simone de Beauvoir
413593,Since a politician never believes what he says  he is surprised when others believe him.,Charles de Gaulle
413606,All I know is I'm not a Marxist.,Karl Marx
413612,In politics it is necessary either to betray one's country or the electorate. I prefer to betray the electorate.,Charles de Gaulle
413660,It will not be any European statesman who will unite Europe: Europe will be united by the Chinese.,Charles de Gaulle
413671,In order to become the master  the politician poses as the servant.,Charles de Gaulle
413963,One is not born a genius  one becomes a genius.,Simone de Beauvoir
413967,If you haven't been happy very young  you can still be happy later on  but it's much harder. You need more luck.,Simone de Beauvoir
414170,The better I get to know men  the more I find myself loving dogs.,Charles de Gaulle
414181,Man has bought brains  but all the millions in the world have failed to buy love. Man has subdued bodies  but all the power on earth has been unable to subdue love. Man has conquered whole nations  but all his armies could not conquer love. Man has chained and fettered the spirit  but he has been utterly helpless before love. Thus love has the magic power to make of a beggar a king.,Emma Goldman
414242,Power never takes a back step - only in the face of more power.,Malcolm X
414372,Prayer is not an old woman's idle amusement. Properly understood and applied  it is the most potent instrument of action.,Mahatma Gandhi
414593,Prayer is not asking. It is a longing of the soul.,Mahatma Gandhi
415147,It so happens that the world is undergoing a transformation to which no change that has yet occurred can be compared  either in scope or in rapidity.,Charles de Gaulle
415669,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415683,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415697,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415711,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415725,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415739,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415753,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415767,I respect only those who resist me  but cannot tolerate them.,Charles de Gaulle
415845,Religion is the opiate of the people.,Karl Marx
415859,I consider myself a Hindu  Christian  Moslem  Jew  Buddhist  and Confucian.,Mahatma Gandhi
415918,Religion is the opium of the people.,Karl Marx
415977,The role of a retired person is no longer to possess one.,Simone de Beauvoir
416011,It is possible for a single individual to defy the whole might of an unjust empire to save his honour  his religion  his soul  and lay the foundation for that empire's fall or its regeneration.,Mahatma Gandhi
416027,It is impossible to predict the time and progress of revolution. It is governed by its own more or less mysterious laws. But when it comes it moves irresistibly.,Vladimir Lenin
416029,Let the ruling classes tremble at a Communist revolution. The proletarians have nothing to lose but their chains. They have a world to win. Working men of all countries  unite!,Karl Marx
416056,The history of human growth is at the same time the history of every new idea heralding the approach of a brighter dawn  and the brighter dawn has always been considered illegal  outside of the law.,Emma Goldman
416285,For me  writing is the only thing that passes the three tests of metier: (i) when I'm doing it  I don't feel that I should be doing something else instead  (2) it produces a sense of accomplishment and  once in a while  pride  and (3) it's frightening.,Gloria Steinem
417061,There are limits to self-indulgence  none to self-restraint.,Mahatma Gandhi
417335,Self-esteem isn't everything  it's just that there's nothing without it.,Gloria Steinem
417388,Women may be the one group that grows more radical with age.,Gloria Steinem
417809,Living by proxy is always a precarious expedient.,Simone de Beauvoir
417814,Faced with crisis  the man of character falls back on himself.,Charles de Gaulle
417841,Let women be provided with living strength of their own.,Simone de Beauvoir
418585,We were born to make manifest the glory of God that is within us. It's not just in some of us  it's in everyone.,Nelson Mandela
419150,The act of acting morally is behaving as if everything we do matters.,Gloria Steinem
419244,For me  writing is the only thing that passes the three tests of metier: (1) when I'm doing it  I don't feel that I should be doing something else instead  (2.) it produces a sense of accomplishment and  once in a while  pride  and (3) it's frightening.,Gloria Steinem
419329,If you live long enough  you'll see that every victory turns into a defeat.,Simone de Beauvoir
419468,Diplomats are useful only in fair weather. As soon as it rains  they drown in every drop.,Charles de Gaulle
419557,We teach what we need to learn and write what we need to know.,Gloria Steinem
420079,There is no justification for present existence other than its expansion into an indefinitely open future.,Simone de Beauvoir
420282,Belief is harder to shake than knowledge.,Adolf Hitler
420907,It is better to be violent  if there is violence in our hearts  than to put on the cloak of non-violence to cover impotence.,Mahatma Gandhi
420976,When we can't dream any longer  we die.,Emma Goldman
421028,Morality is contraband in war.,Mahatma Gandhi
421558,One is not born a woman - one becomes one.,Simone de Beauvoir
421606,A woman without a man is like a fish without a bicycle.,Gloria Steinem
423642,"You may never know what results come of your actions, but if you do nothing, there will be no results.",Mahatma Gandhi
423644,Silence becomes cowardice when occasion demands speaking out the whole truth and acting accordingly.,Mahatma Gandhi
423647,"We declare our right on this earth...to be a human being, to be respected as a human being, to be given the rights of a human being in this society, on this earth, in this day, which we intend to bring into existence by any means necessary.",Malcolm X
423653,"I for one believe that if you give people a thorough understanding of what confronts them and the basic causes that produce it, they'll create their own program, and when the people create a program, you get action.",Malcolm X
423705,"I'm for truth, no matter who tells it. I'm for justice, no matter who is for or against it.",Malcolm X
423873,"Nobody can give you freedom, nobody can give you equality or justice. If you are a man, you take it.",Malcolm X
426194,Politics is the reflex of the business and industrial world.,Emma Goldman
426422,"America needs to understand Islam, because this is the one religion that erases from its society the race problem. Throughout my travels in the Muslim world, I have met, talked to, even eaten with people who in America would have been considered 'white,' but the 'white' attitude had been removed from their minds by the religion of Islam.",Malcolm X
427324,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",Nelson Mandela
427397,"I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal which I hope to live for and to achieve. But if needs be, it is an ideal for which I am prepared to die.",Nelson Mandela
427743,"Sabotage did not involve loss of life, and it offered the best hope for future race relations. Bitterness would be kept to a minimum and, if the policy bore fruit, democratic government could become a reality.",Nelson Mandela
427830,What is true of the individual will be tomorrow true of the whole nation if individuals will but refuse to lose heart and hope.,Mahatma Gandhi
428162,"There is no hope even that woman, with her right to vote, will ever purify politics.",Emma Goldman
428284,"I have more respect for a man who lets me know where he stands, even if he's wrong, than the one who comes up like an angel and is nothing but a devil.",Malcolm X
428511,"In all our deeds, the proper value and respect for time determines success or failure.",Malcolm X
